random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	29	sqrt	3	gini	0.7894736842105263
1	11	sqrt	3	entropy	0.7777777777777778
2	20	log2	4	gini	0.7777777777777778
3	10	sqrt	2	gini	0.7777777777777778
4	6	sqrt	4	entropy	0.7660818713450293
5	22	sqrt	4	gini	0.7719298245614035
6	29	sqrt	2	gini	0.7719298245614035
7	12	log2	4	gini	0.7777777777777778
8	29	sqrt	3	gini	0.7660818713450293
9	18	log2	2	gini	0.783625730994152
