random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	23	sqrt	4	entropy	0.7251461988304093
1	29	sqrt	4	gini	0.7368421052631579
2	28	sqrt	4	gini	0.7134502923976608
3	25	sqrt	4	entropy	0.7251461988304093
4	23	sqrt	4	entropy	0.7309941520467836
5	30	sqrt	4	gini	0.7309941520467836
6	8	sqrt	4	entropy	0.7368421052631579
7	16	sqrt	4	entropy	0.7426900584795322
8	13	sqrt	2	gini	0.7368421052631579
9	13	sqrt	4	entropy	0.7426900584795322
