	OG	TSG
USP9X	-4.410776047959867	-0.012220111334775444
KDM6A	-4.334235970837533	-0.013198607790081205
USP9X_ENST00000324545	-3.9560398908449206	-0.019324272826402814
MLLT4_ENST00000366806	-3.934983197709647	-0.01973957758145878
AHCTF1	-3.6570042455834875	-0.02614863158592842
PBRM1_ENST00000356770	-3.6291386209069296	-0.02689755228839422
PBRM1_ENST00000296302	-3.5053739906721217	-0.030495845508717673
MLL2_ENST00000301067	-3.481240089335692	-0.031252543504104426
RASA1_ENST00000456692	-3.439138997368324	-0.03261855265196949
MLLT4_ENST00000392108	-3.404904383488551	-0.0337739688017068
CNTLN	-3.373897070765905	-0.034856365256198785
SACS	-3.2621888806877246	-0.039057367277228826
SETD2_ENST00000409792	-3.1424663557262	-0.04413599921029233
ZNF292	-3.1424663557262	-0.04413599921029233
MLL3_ENST00000355193	-3.115080759136405	-0.04538962206053152
KMT2D	-3.113768377666742	-0.04545060500939695
CDC27_ENST00000531206	-3.1117685838754325	-0.04554369141772499
PCDH15_ENST00000414778	-3.0817344744315096	-0.04696542114085899
DNAH14_ENST00000430092	-3.038544064183439	-0.049090023106654314
ROBO2	-2.9971694341458393	-0.05121771154026305
ANK3	-2.9971694341458393	-0.05121771154026305
HSPG2	-2.9894468977390303	-0.05162520052754195
HERC2_ENST00000261609	-2.9894468977390303	-0.05162520052754195
JMJD1C	-2.9894468977390303	-0.05162520052754195
MAP3K1_ENST00000399503	-2.9894468977390303	-0.05162520052754195
ZNF318	-2.9894468977390303	-0.05162520052754195
PDS5B	-2.9397421660366176	-0.05432880328239876
SACS_ENST00000382298	-2.9397421660366176	-0.05432880328239876
RASA1	-2.894894426733581	-0.05689301041717212
CLIP1	-2.870033432244863	-0.05836776591173029
VPS13A_ENST00000376634	-2.8659689499325527	-0.05861258789145772
BCORL1	-2.8659689499325527	-0.05861258789145772
VPS13A	-2.8659689499325527	-0.05861258789145772
ARID1B_ENST00000346085	-2.859310416013694	-0.05901594852447147
NUMA1	-2.8198416070903267	-0.061466322100601024
GON4L_ENST00000368331	-2.815540181309652	-0.06173963428526922
NUP98	-2.781951632821942	-0.06391743305179465
DMXL2	-2.779631004865194	-0.06407079428152307
MEGF8_ENST00000334370	-2.779631004865194	-0.06407079428152307
PABPC3	-2.7788264218980196	-0.06412405466752862
CRSP3	-2.769039724942687	-0.06477556939427453
DOCK8_ENST00000453981	-2.7665965480031427	-0.06493927897865408
PTCH1_ENST00000331920	-2.7493022470542434	-0.06611040403255335
PTCH1_ENST00000375274	-2.7493022470542434	-0.06611040403255335
EGFL4	-2.749196840136983	-0.06611760843813838
ZNF292_ENST00000369577	-2.7101313673060345	-0.06884438236350689
KIF20B	-2.696359615725582	-0.0698331663888155
KIAA1409	-2.6667995114164746	-0.07200549917202333
RIMS1	-2.6667995114164746	-0.07200549917202333
SCN11A	-2.6667995114164746	-0.07200549917202333
DMD_ENST00000378687	-2.6667995114164746	-0.07200549917202333
PCLO_ENST00000333891	-2.6667995114164746	-0.07200549917202333
FLG2	-2.6667995114164746	-0.07200549917202333
LRP2	-2.6667995114164746	-0.07200549917202333
MYO3A	-2.6667995114164746	-0.07200549917202333
MLL4	-2.6441987291156774	-0.07371357262188884
FAT2	-2.612490302230537	-0.07618112556913618
NES	-2.6028351723589354	-0.07694940309730285
NF2_ENST00000403999	-2.5791726252296794	-0.07886651674410396
SLC9A4	-2.556706007326837	-0.08073273069283536
HERC2	-2.5552223821540987	-0.08085757592936395
RAD50_ENST00000265335	-2.5518193436433876	-0.08114469722056311
RAD50	-2.5518193436433876	-0.08114469722056311
HRNR	-2.5469168203445305	-0.08156020056841028
NCOR1_ENST00000395851	-2.539162543552663	-0.08222192796512438
RTN4_ENST00000337526	-2.539130367330631	-0.08222468541028562
SRCAP	-2.5282012236251465	-0.08316689068740322
RIN2	-2.5275107265206964	-0.08322679524967613
ATM_ENST00000278616	-2.49787312301894	-0.08584090129245651
RGS22_ENST00000360863	-2.4853194370249767	-0.08697385932505823
WT1	-2.471380579925748	-0.08825014039359982
AKAP13	-2.4641771860475132	-0.08891735688966831
NOTCH2	-2.452546792370965	-0.09000577675581946
ZC3H11A	-2.452546792370965	-0.09000577675581946
JMJD1C_ENST00000399262	-2.452546792370965	-0.09000577675581946
CELSR3	-2.452546792370965	-0.09000577675581946
DNAH17	-2.452546792370965	-0.09000577675581946
KIAA2018	-2.4344844446166087	-0.09172383064915306
CASP8AP2	-2.429733898845573	-0.09218136828657827
KL	-2.423192398756433	-0.09281531109744645
TET2_ENST00000305737	-2.419157901178673	-0.09320857249343327
SETX	-2.4089791826808504	-0.0942085158914597
VPRBP	-2.397969942075731	-0.0953027131832321
MEGF8	-2.3952566917749167	-0.09557442122722136
RAB11FIP1	-2.389325562925599	-0.09617120387465207
KIAA0947_ENST00000296564	-2.389325562925599	-0.09617120387465207
