Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_TSG	F1_OG	Precision_TSG	Precision_OG	Recall_TSG	Recall_OG
allFeat	37	29	0	sqrt	3	gini	0.8771929824561403	0.9098712446351932	0.8073394495412844	0.8548387096774194	0.9361702127659575	0.9724770642201835	0.7096774193548387
allFeat	37	11	1	sqrt	3	entropy	0.8538011695906432	0.8908296943231442	0.7787610619469026	0.85	0.8627450980392157	0.9357798165137615	0.7096774193548387
allFeat	37	20	2	log2	4	gini	0.9181286549707602	0.9396551724137931	0.8727272727272727	0.8861788617886179	1.0	1.0	0.7741935483870968
allFeat	37	10	3	sqrt	2	gini	0.7953216374269005	0.8547717842323651	0.6534653465346534	0.7803030303030303	0.8461538461538461	0.944954128440367	0.532258064516129
allFeat	37	6	4	sqrt	4	entropy	0.8888888888888888	0.9147982062780269	0.8403361344537815	0.8947368421052632	0.8771929824561403	0.9357798165137615	0.8064516129032258
allFeat	37	22	5	sqrt	4	gini	0.8888888888888888	0.9184549356223176	0.8256880733944956	0.8629032258064516	0.9574468085106383	0.981651376146789	0.7258064516129032
allFeat	37	29	6	sqrt	2	gini	0.8128654970760234	0.8620689655172414	0.7090909090909092	0.8130081300813008	0.8125	0.9174311926605505	0.6290322580645161
allFeat	37	12	7	log2	4	gini	0.8538011695906432	0.8927038626609441	0.7706422018348622	0.8387096774193549	0.8936170212765957	0.9541284403669725	0.6774193548387096
allFeat	37	29	8	sqrt	3	gini	0.8596491228070176	0.8974358974358974	0.7777777777777777	0.84	0.9130434782608695	0.963302752293578	0.6774193548387096
allFeat	37	18	9	log2	2	gini	0.7953216374269005	0.8510638297872339	0.6728971962616822	0.7936507936507936	0.8	0.9174311926605505	0.5806451612903226
newFeat	19	23	0	sqrt	4	entropy	0.8538011695906432	0.8927038626609441	0.7706422018348622	0.8387096774193549	0.8936170212765957	0.9541284403669725	0.6774193548387096
newFeat	19	29	1	sqrt	4	gini	0.8830409356725146	0.9152542372881356	0.8113207547169812	0.8503937007874016	0.9772727272727273	0.9908256880733946	0.6935483870967742
newFeat	19	28	2	sqrt	4	gini	0.9005847953216374	0.925764192139738	0.8495575221238938	0.8833333333333333	0.9411764705882353	0.9724770642201835	0.7741935483870968
newFeat	19	25	3	sqrt	4	entropy	0.8771929824561403	0.9113924050632912	0.8	0.84375	0.9767441860465116	0.9908256880733946	0.6774193548387096
newFeat	19	23	4	sqrt	4	entropy	0.8654970760233918	0.9012875536480687	0.7889908256880733	0.8467741935483871	0.9148936170212766	0.963302752293578	0.6935483870967742
newFeat	19	30	5	sqrt	4	gini	0.8654970760233918	0.9021276595744682	0.7850467289719625	0.8412698412698413	0.9333333333333333	0.9724770642201835	0.6774193548387096
newFeat	19	8	6	sqrt	4	entropy	0.8596491228070176	0.8956521739130435	0.7857142857142856	0.8512396694214877	0.88	0.944954128440367	0.7096774193548387
newFeat	19	16	7	sqrt	4	entropy	0.8362573099415205	0.8833333333333333	0.7254901960784315	0.8091603053435115	0.925	0.9724770642201835	0.5967741935483871
newFeat	19	13	8	sqrt	2	gini	0.7777777777777778	0.8442622950819672	0.6122448979591837	0.762962962962963	0.8333333333333334	0.944954128440367	0.4838709677419355
newFeat	19	13	9	sqrt	4	entropy	0.8421052631578947	0.8870292887029289	0.7378640776699029	0.8153846153846154	0.926829268292683	0.9724770642201835	0.6129032258064516
oldFeat	18	5	0	sqrt	2	entropy	0.783625730994152	0.8477366255144032	0.6262626262626263	0.7686567164179104	0.8378378378378378	0.944954128440367	0.5
oldFeat	18	23	1	sqrt	4	gini	0.9005847953216374	0.925764192139738	0.8495575221238938	0.8833333333333333	0.9411764705882353	0.9724770642201835	0.7741935483870968
oldFeat	18	28	2	sqrt	3	gini	0.8421052631578947	0.8870292887029289	0.7378640776699029	0.8153846153846154	0.926829268292683	0.9724770642201835	0.6129032258064516
oldFeat	18	22	3	sqrt	4	gini	0.9064327485380117	0.9316239316239316	0.8518518518518519	0.872	1.0	1.0	0.7419354838709677
oldFeat	18	21	4	sqrt	3	gini	0.8421052631578947	0.8870292887029289	0.7378640776699029	0.8153846153846154	0.926829268292683	0.9724770642201835	0.6129032258064516
oldFeat	18	8	5	sqrt	4	entropy	0.8538011695906432	0.8927038626609441	0.7706422018348622	0.8387096774193549	0.8936170212765957	0.9541284403669725	0.6774193548387096
oldFeat	18	21	6	sqrt	3	gini	0.847953216374269	0.888888888888889	0.7592592592592593	0.832	0.8913043478260869	0.9541284403669725	0.6612903225806451
oldFeat	18	30	7	sqrt	4	gini	0.9064327485380117	0.9310344827586207	0.8545454545454544	0.8780487804878049	0.9791666666666666	0.9908256880733946	0.7580645161290323
oldFeat	18	16	8	sqrt	2	gini	0.783625730994152	0.8477366255144032	0.6262626262626263	0.7686567164179104	0.8378378378378378	0.944954128440367	0.5
oldFeat	18	15	9	sqrt	3	entropy	0.8245614035087719	0.8749999999999999	0.7058823529411764	0.8015267175572519	0.9	0.963302752293578	0.5806451612903226
