	OG	TSG
CREBBP	-3.483517826578239	-0.031180319281622945
GATA3	-3.3489818680669066	-0.03575163387701082
BCOR	-3.3489818680669066	-0.03575163387701082
BCOR_ENST00000378444	-3.3489818680669066	-0.03575163387701082
ZMYM3	-3.2574696871525064	-0.03924579536307883
NOTCH1	-3.209735488625115	-0.04120466092272407
RB1_ENST00000267163	-3.209735488625115	-0.04120466092272407
ARID1A	-3.209735488625115	-0.04120466092272407
MLL4	-3.209735488625115	-0.04120466092272407
TBX3	-3.209735488625115	-0.04120466092272407
SETD2_ENST00000409792	-3.209735488625115	-0.04120466092272407
KDM6A	-3.209735488625115	-0.04120466092272407
TNRC6B_ENST00000454349	-3.209735488625115	-0.04120466092272407
PBRM1_ENST00000356770	-3.209735488625115	-0.04120466092272407
NOTCH1_ENST00000277541	-3.209735488625115	-0.04120466092272407
ATRX_ENST00000373344	-3.209735488625115	-0.04120466092272407
KMT2D	-3.209735488625115	-0.04120466092272407
NF2_ENST00000403999	-3.209735488625115	-0.04120466092272407
PBRM1_ENST00000296302	-3.209735488625115	-0.04120466092272407
MBD6	-3.105811550473371	-0.045822136878221946
MLL2_ENST00000301067	-3.105811550473371	-0.045822136878221946
ASXL2_ENST00000435504	-3.105811550473371	-0.045822136878221946
ZNF750	-3.105811550473371	-0.045822136878221946
MLL3_ENST00000355193	-3.105811550473371	-0.045822136878221946
LARP4B	-3.105811550473371	-0.045822136878221946
PTCH1_ENST00000430669	-3.105811550473371	-0.045822136878221946
PTCH1_ENST00000375274	-3.105811550473371	-0.045822136878221946
STAG2_ENST00000218089	-3.105811550473371	-0.045822136878221946
PTCH1_ENST00000331920	-3.105811550473371	-0.045822136878221946
FAT	-3.105811550473371	-0.045822136878221946
MAP3K1_ENST00000399503	-3.105811550473371	-0.045822136878221946
RASA1	-3.084449384443772	-0.046835058162123196
RASA1_ENST00000456692	-3.084449384443772	-0.046835058162123196
KDM5C_ENST00000452825	-3.038422827004171	-0.04909612353149377
ZFP36L2	-3.0335365200587745	-0.049342640979083814
ATM_ENST00000278616	-3.0333569093864448	-0.04935172659093768
ZC3H13_ENST00000242848	-3.0333569093864448	-0.04935172659093768
SIN3A	-3.0333569093864448	-0.04935172659093768
MLLT4_ENST00000366806	-3.0333569093864448	-0.04935172659093768
NOTCH2	-3.0333569093864448	-0.04935172659093768
ZC3H13	-3.0333569093864448	-0.04935172659093768
FBXW7_ENST00000281708	-3.0284952335528024	-0.04959830706496529
SOX9	-2.997709298474835	-0.05118934863776294
ARID1B_ENST00000346085	-2.99221672052775	-0.05147866629579103
PDS5B	-2.99221672052775	-0.05147866629579103
KDM5C_ENST00000375401	-2.950161392284777	-0.05375026754437104
NF1_ENST00000358273	-2.9473826032826986	-0.053903940384507916
NF1	-2.9473826032826986	-0.053903940384507916
KIAA1267	-2.9473826032826986	-0.053903940384507916
CASP8_ENST00000264275	-2.9456792590127026	-0.05399836191796298
GRLF1	-2.9455224447661257	-0.05400706314299242
WT1	-2.9418466974580393	-0.054211434144887764
CDKN2A_ENST00000446177	-2.932246374632591	-0.05474896679211277
MLLT4	-2.9272954257565096	-0.05502831338724731
MLLT4_ENST00000392108	-2.9272954257565096	-0.05502831338724731
CRIPAK	-2.889587974948019	-0.05720453785577781
KIAA0182	-2.884693712161954	-0.05749342267793596
TET2_ENST00000305737	-2.867121338936323	-0.058543067146310634
TCF7L2	-2.7768473020912134	-0.06425525959601125
BCORL1	-2.7436209420422193	-0.06649987180571693
SCAF4	-2.735030215639599	-0.06709329787651536
CASP8_ENST00000358485	-2.7305721530872007	-0.06740340491907763
TSC2_ENST00000219476	-2.7075173590543296	-0.06903094249974476
C18orf34_ENST00000383096	-2.691098516571541	-0.07021477339503616
MAP2K4	-2.6624912146269453	-0.07232790788580319
BRCA2_ENST00000544455	-2.637858751409219	-0.07420023000842069
TCF7L2_ENST00000543371	-2.6129471082053586	-0.07614497462405774
BCL9L_ENST00000392849	-2.600456162302913	-0.0771399386823285
NCOR1_ENST00000395851	-2.5922685256596805	-0.07779944443291215
KDM6A_ENST00000382899	-2.5922685256596805	-0.07779944443291215
KDM6A_ENST00000377967	-2.5922685256596805	-0.07779944443291215
CTNND1_ENST00000399050	-2.5639535322647946	-0.08012573788672271
CTNND1	-2.5639535322647946	-0.08012573788672271
RBMX	-2.563176687423044	-0.08019057211718039
ZC3H18	-2.5348839946981734	-0.08258943863418568
GRLF1_ENST00000317082	-2.534883994698174	-0.08258943863418568
MGA	-2.5348839946981734	-0.08258943863418568
CHD2_ENST00000394196	-2.5299061452867417	-0.08301917137885197
ZFP36L1	-2.528843540010655	-0.08311120641867771
BCL9L	-2.5216483269354595	-0.08373720721762354
RBM5	-2.511120150019717	-0.08466205617397041
BMPR2	-2.5093279078566098	-0.08482055388138454
RAPGEF6_ENST00000509018	-2.5012213660355553	-0.08554133511538989
RAPGEF6_ENST00000307984	-2.50068910840023	-0.08558888301104504
KBTBD4	-2.496319755615024	-0.08598025210838792
EP300	-2.493304080274411	-0.08625145938620518
IWS1	-2.482466887516488	-0.08723346900599796
FBXW7_ENST00000534231	-2.4735046535013288	-0.0880543977290501
SMARCA1	-2.470497121929017	-0.08833168872310909
TNRC6B_ENST00000301923	-2.468428389360626	-0.08852295300662115
ACIN1_ENST00000338631	-2.447888103422799	-0.09044565523728715
ATAD2	-2.4377724821130258	-0.09140854333545625
NIPBL_ENST00000448238	-2.4377724821130258	-0.09140854333545625
BCL9L_ENST00000334801	-2.4312251418049096	-0.09203748603744433
CNTN6	-2.422005776038608	-0.09293079608264823
