	OG	TSG
GOLGA2	-2.732008735442979	-0.06730331337499139
ABI3BP_ENST00000471714	-2.7281443664392757	-0.0675729070362433
MED23	-2.726293244614157	-0.0677024439823158
KDM6A_ENST00000377967	-2.695155442878847	-0.0699203195853441
PBRM1_ENST00000296302	-2.635645770602552	-0.07437088248111391
PBRM1_ENST00000356770	-2.635645770602552	-0.07437088248111391
STAG2_ENST00000218089	-2.6071683392749883	-0.07660361385157669
LARP4B	-2.5326587997189494	-0.08278125029817848
RNF111	-2.5326587997189494	-0.08278125029817848
RASA1	-2.526559740540437	-0.08330937233362407
RASA1_ENST00000456692	-2.5191546404508416	-0.08395530913012476
ZNRF3	-2.508468944966196	-0.08489662631150331
MLLT4	-2.5009880658273866	-0.08556217300846403
RB1_ENST00000267163	-2.4937692527446558	-0.0862095670838136
DNAH17	-2.492576768795671	-0.0863170018777161
MLL2_ENST00000301067	-2.4556600135013613	-0.08971307048328692
SETD2_ENST00000409792	-2.4556600135013613	-0.08971307048328692
LMO7_ENST00000357063	-2.439841512121766	-0.09121072719880328
SACS_ENST00000382298	-2.435735310048438	-0.09160375224289435
IWS1	-2.4227510270311474	-0.0928582488954352
USP9X_ENST00000324545	-2.412127043920839	-0.09389807946862787
FBXW7_ENST00000534231	-2.4069843000721987	-0.09440580418296697
SMC6	-2.4048364852420336	-0.09461870114376618
DNAH14_ENST00000430092	-2.400871254541027	-0.09501306815651153
KIF20B	-2.400871254541027	-0.09501306815651153
ZNF292	-2.400871254541027	-0.09501306815651153
ZNF292_ENST00000369577	-2.400871254541027	-0.09501306815651153
ZNF543	-2.398842112732358	-0.09521554510007993
PCM1	-2.3955461822481103	-0.09554539264721733
ARID1B_ENST00000346085	-2.3875004235578228	-0.09635563243676853
MAP2K4	-2.3842621474099994	-0.09668377076852046
KDM6A_ENST00000382899	-2.3818815347245654	-0.09692574864845017
ZNF318	-2.381515923453828	-0.09696296753374511
PDS5B	-2.381515923453828	-0.09696296753374511
MBD6	-2.376457617148715	-0.09747944025498136
HSPG2	-2.3561996475126574	-0.09957697929505858
ARID1A	-2.3501010738765693	-0.10021767760641133
MGA	-2.3478247740473317	-0.10045792798269351
KL	-2.3459607524271444	-0.1006551155700376
