random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	20	sqrt	3	gini	0.783625730994152
1	23	sqrt	3	gini	0.7660818713450293
2	16	sqrt	3	entropy	0.7777777777777778
3	16	sqrt	3	gini	0.7719298245614035
4	15	sqrt	2	gini	0.7894736842105263
5	14	sqrt	4	gini	0.783625730994152
6	6	sqrt	3	gini	0.7894736842105263
7	26	sqrt	4	gini	0.7777777777777778
8	24	sqrt	2	gini	0.7719298245614035
9	10	sqrt	3	entropy	0.7777777777777778
