Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_TSG	F1_OG	Precision_TSG	Precision_OG	Recall_TSG	Recall_OG
allFeat	37	8	0	log2	2	gini	0.783625730994152	0.8425531914893617	0.6542056074766356	0.7857142857142857	0.7777777777777778	0.908256880733945	0.5645161290322581
allFeat	37	6	1	log2	3	gini	0.8713450292397661	0.9017857142857143	0.8135593220338982	0.8782608695652174	0.8571428571428571	0.926605504587156	0.7741935483870968
allFeat	37	16	2	log2	3	entropy	0.8596491228070176	0.896551724137931	0.7818181818181819	0.8455284552845529	0.8958333333333334	0.9541284403669725	0.6935483870967742
allFeat	37	7	3	log2	3	gini	0.8538011695906432	0.8953974895397491	0.7572815533980582	0.823076923076923	0.9512195121951219	0.981651376146789	0.6290322580645161
allFeat	37	29	4	log2	2	gini	0.8187134502923976	0.8680851063829788	0.7102803738317757	0.8095238095238095	0.8444444444444444	0.9357798165137615	0.6129032258064516
allFeat	37	7	5	log2	4	entropy	0.8596491228070176	0.8867924528301887	0.8153846153846154	0.912621359223301	0.7794117647058824	0.8623853211009175	0.8548387096774194
allFeat	37	6	6	sqrt	2	entropy	0.8070175438596491	0.8607594936708861	0.6857142857142857	0.796875	0.8372093023255814	0.9357798165137615	0.5806451612903226
allFeat	37	16	7	log2	2	gini	0.8187134502923976	0.8702928870292888	0.6990291262135923	0.8	0.8780487804878049	0.9541284403669725	0.5806451612903226
allFeat	37	10	8	log2	2	gini	0.7894736842105263	0.8461538461538463	0.6666666666666667	0.792	0.782608695652174	0.908256880733945	0.5806451612903226
allFeat	37	20	9	sqrt	2	gini	0.8187134502923976	0.8680851063829788	0.7102803738317757	0.8095238095238095	0.8444444444444444	0.9357798165137615	0.6129032258064516
newFeat	19	18	0	sqrt	4	entropy	0.8713450292397661	0.9051724137931033	0.7999999999999999	0.8536585365853658	0.9166666666666666	0.963302752293578	0.7096774193548387
newFeat	19	28	1	sqrt	4	gini	0.9239766081871345	0.9432314410480349	0.8849557522123893	0.9	0.9803921568627451	0.9908256880733946	0.8064516129032258
newFeat	19	22	2	sqrt	3	gini	0.8187134502923976	0.8713692946058091	0.6930693069306931	0.7954545454545454	0.8974358974358975	0.963302752293578	0.5645161290322581
newFeat	19	11	3	sqrt	4	gini	0.8771929824561403	0.9106382978723404	0.8037383177570094	0.8492063492063492	0.9555555555555556	0.981651376146789	0.6935483870967742
newFeat	19	23	4	sqrt	3	gini	0.8362573099415205	0.8833333333333333	0.7254901960784315	0.8091603053435115	0.925	0.9724770642201835	0.5967741935483871
newFeat	19	16	5	sqrt	4	gini	0.8830409356725146	0.9107142857142857	0.8305084745762712	0.8869565217391304	0.875	0.9357798165137615	0.7903225806451613
newFeat	19	12	6	sqrt	3	entropy	0.8304093567251462	0.8786610878661087	0.7184466019417476	0.8076923076923077	0.9024390243902439	0.963302752293578	0.5967741935483871
newFeat	19	27	7	sqrt	3	gini	0.8187134502923976	0.8658008658008659	0.7207207207207208	0.819672131147541	0.8163265306122449	0.9174311926605505	0.6451612903225806
newFeat	19	30	8	sqrt	3	gini	0.8304093567251462	0.876595744680851	0.7289719626168225	0.8174603174603174	0.8666666666666667	0.944954128440367	0.6290322580645161
newFeat	19	20	9	sqrt	3	entropy	0.8421052631578947	0.8841201716738197	0.7522935779816514	0.8306451612903226	0.8723404255319149	0.944954128440367	0.6612903225806451
oldFeat	18	20	0	sqrt	3	gini	0.8596491228070176	0.8974358974358974	0.7777777777777777	0.84	0.9130434782608695	0.963302752293578	0.6774193548387096
oldFeat	18	23	1	sqrt	3	gini	0.8713450292397661	0.9043478260869566	0.8035714285714286	0.859504132231405	0.9	0.9541284403669725	0.7258064516129032
oldFeat	18	16	2	sqrt	3	entropy	0.8362573099415205	0.8823529411764707	0.7307692307692307	0.813953488372093	0.9047619047619048	0.963302752293578	0.6129032258064516
oldFeat	18	16	3	sqrt	3	gini	0.8538011695906432	0.8936170212765958	0.7663551401869159	0.8333333333333334	0.9111111111111111	0.963302752293578	0.6612903225806451
oldFeat	18	15	4	sqrt	2	gini	0.8362573099415205	0.8803418803418803	0.7407407407407407	0.824	0.8695652173913043	0.944954128440367	0.6451612903225806
oldFeat	18	14	5	sqrt	4	gini	0.8947368421052632	0.9224137931034483	0.8363636363636364	0.8699186991869918	0.9583333333333334	0.981651376146789	0.7419354838709677
oldFeat	18	6	6	sqrt	3	gini	0.8362573099415205	0.8761061946902655	0.7586206896551724	0.8461538461538461	0.8148148148148148	0.908256880733945	0.7096774193548387
oldFeat	18	26	7	sqrt	4	gini	0.9122807017543859	0.9339207048458149	0.8695652173913043	0.8983050847457628	0.9433962264150944	0.9724770642201835	0.8064516129032258
oldFeat	18	24	8	sqrt	2	gini	0.8304093567251462	0.8755364806866953	0.7339449541284404	0.8225806451612904	0.851063829787234	0.9357798165137615	0.6451612903225806
oldFeat	18	10	9	sqrt	3	entropy	0.8654970760233918	0.9012875536480687	0.7889908256880733	0.8467741935483871	0.9148936170212766	0.963302752293578	0.6935483870967742
