random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	8	log2	2	gini	0.7719298245614035
1	6	log2	3	gini	0.7660818713450293
2	16	log2	3	entropy	0.7660818713450293
3	7	log2	3	gini	0.7719298245614035
4	29	log2	2	gini	0.783625730994152
5	7	log2	4	entropy	0.7894736842105263
6	6	sqrt	2	entropy	0.7894736842105263
7	16	log2	2	gini	0.7777777777777778
8	10	log2	2	gini	0.7777777777777778
9	20	sqrt	2	gini	0.783625730994152
