random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	17	sqrt	4	gini	0.757396449704142
1	27	sqrt	4	entropy	0.7869822485207101
2	19	sqrt	4	entropy	0.7751479289940828
3	29	sqrt	4	gini	0.7869822485207101
4	8	sqrt	4	gini	0.7988165680473372
5	14	sqrt	4	entropy	0.7928994082840237
6	5	sqrt	4	gini	0.7751479289940828
7	23	sqrt	3	gini	0.7810650887573964
8	18	sqrt	4	gini	0.7869822485207101
9	9	sqrt	2	entropy	0.7988165680473372
