Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_TSG	F1_OG	Precision_TSG	Precision_OG	Recall_TSG	Recall_OG
allFeat	37	26	0	log2	2	gini	0.8224852071005917	0.8728813559322034	0.7058823529411764	0.8046875	0.8780487804878049	0.9537037037037037	0.5901639344262295
allFeat	37	6	1	log2	4	gini	0.8875739644970414	0.9140271493212669	0.8376068376068376	0.8938053097345132	0.875	0.9351851851851852	0.8032786885245902
allFeat	37	20	2	log2	2	gini	0.8461538461538461	0.8888888888888888	0.75	0.8253968253968254	0.9069767441860465	0.9629629629629629	0.639344262295082
allFeat	37	5	3	log2	2	gini	0.8461538461538461	0.8869565217391304	0.7592592592592592	0.8360655737704918	0.8723404255319149	0.9444444444444444	0.6721311475409836
allFeat	37	6	4	log2	2	entropy	0.834319526627219	0.8813559322033898	0.7254901960784315	0.8125	0.9024390243902439	0.9629629629629629	0.6065573770491803
allFeat	37	13	5	sqrt	2	gini	0.834319526627219	0.8803418803418803	0.7307692307692308	0.8174603174603174	0.8837209302325582	0.9537037037037037	0.6229508196721312
allFeat	37	6	6	sqrt	3	entropy	0.8402366863905325	0.883116883116883	0.7476635514018691	0.8292682926829268	0.8695652173913043	0.9444444444444444	0.6557377049180327
allFeat	37	6	7	sqrt	4	entropy	0.9171597633136095	0.9380530973451328	0.8750000000000001	0.8983050847457628	0.9607843137254902	0.9814814814814815	0.8032786885245902
allFeat	37	8	8	sqrt	3	gini	0.8461538461538461	0.8859649122807017	0.7636363636363637	0.8416666666666667	0.8571428571428571	0.9351851851851852	0.6885245901639344
allFeat	37	12	9	log2	2	gini	0.8402366863905325	0.8789237668161435	0.7652173913043478	0.8521739130434782	0.8148148148148148	0.9074074074074074	0.7213114754098361
newFeat	19	16	0	sqrt	4	entropy	0.8461538461538461	0.8898305084745762	0.7450980392156863	0.8203125	0.926829268292683	0.9722222222222222	0.6229508196721312
newFeat	19	13	1	sqrt	4	gini	0.8698224852071006	0.9043478260869565	0.7962962962962963	0.8524590163934426	0.9148936170212766	0.9629629629629629	0.7049180327868853
newFeat	19	19	2	sqrt	3	gini	0.8165680473372781	0.8702928870292888	0.686868686868687	0.7938931297709924	0.8947368421052632	0.9629629629629629	0.5573770491803278
newFeat	19	9	3	sqrt	3	entropy	0.8047337278106509	0.8653061224489796	0.6451612903225806	0.7737226277372263	0.9375	0.9814814814814815	0.4918032786885246
newFeat	19	23	4	sqrt	2	gini	0.7751479289940828	0.848	0.5681818181818182	0.7464788732394366	0.9259259259259259	0.9814814814814815	0.4098360655737705
newFeat	19	5	5	sqrt	2	gini	0.7692307692307693	0.8311688311688312	0.6355140186915887	0.7804878048780488	0.7391304347826086	0.8888888888888888	0.5573770491803278
newFeat	19	6	6	sqrt	4	gini	0.8402366863905325	0.8841201716738197	0.742857142857143	0.824	0.8863636363636364	0.9537037037037037	0.639344262295082
newFeat	19	5	7	sqrt	4	entropy	0.8402366863905325	0.881057268722467	0.7567567567567568	0.8403361344537815	0.84	0.9259259259259259	0.6885245901639344
newFeat	19	22	8	sqrt	2	gini	0.7810650887573964	0.8477366255144032	0.6105263157894736	0.762962962962963	0.8529411764705882	0.9537037037037037	0.47540983606557374
newFeat	19	28	9	sqrt	2	gini	0.7810650887573964	0.8412017167381974	0.6476190476190475	0.784	0.7727272727272727	0.9074074074074074	0.5573770491803278
oldFeat	18	17	0	sqrt	4	gini	0.9112426035502958	0.9333333333333333	0.8672566371681416	0.8974358974358975	0.9423076923076923	0.9722222222222222	0.8032786885245902
oldFeat	18	27	1	sqrt	4	entropy	0.9289940828402367	0.9464285714285714	0.8947368421052632	0.9137931034482759	0.9622641509433962	0.9814814814814815	0.8360655737704918
oldFeat	18	19	2	sqrt	4	entropy	0.8757396449704142	0.9090909090909091	0.8037383177570093	0.8536585365853658	0.9347826086956522	0.9722222222222222	0.7049180327868853
oldFeat	18	29	3	sqrt	4	gini	0.9053254437869822	0.9285714285714286	0.8596491228070176	0.896551724137931	0.9245283018867925	0.9629629629629629	0.8032786885245902
oldFeat	18	8	4	sqrt	4	gini	0.8816568047337278	0.912280701754386	0.8181818181818182	0.8666666666666667	0.9183673469387755	0.9629629629629629	0.7377049180327869
oldFeat	18	14	5	sqrt	4	entropy	0.8994082840236687	0.9237668161434978	0.8521739130434782	0.8956521739130435	0.9074074074074074	0.9537037037037037	0.8032786885245902
oldFeat	18	5	6	sqrt	4	gini	0.8875739644970414	0.914798206278027	0.8347826086956522	0.8869565217391304	0.8888888888888888	0.9444444444444444	0.7868852459016393
oldFeat	18	23	7	sqrt	3	gini	0.863905325443787	0.902127659574468	0.7766990291262135	0.8346456692913385	0.9523809523809523	0.9814814814814815	0.6557377049180327
oldFeat	18	18	8	sqrt	4	gini	0.9171597633136095	0.9351851851851852	0.8852459016393442	0.9351851851851852	0.8852459016393442	0.9351851851851852	0.8852459016393442
oldFeat	18	9	9	sqrt	2	entropy	0.8047337278106509	0.8558951965065502	0.6972477064220183	0.8099173553719008	0.7916666666666666	0.9074074074074074	0.6229508196721312
