	OG	TSG
KIAA0182	-inf	0.0
CASP8_ENST00000358485	-inf	0.0
TNRC6B_ENST00000301923	-inf	0.0
LOC168850	-inf	0.0
CDKN2A_ENST00000498124	-inf	0.0
ZNF800	-inf	0.0
ACIN1	-inf	0.0
CDKN2A_ENST00000446177	-inf	0.0
CREBBP	-inf	0.0
CDH24	-inf	0.0
TSC2_ENST00000219476	-inf	0.0
FUBP1_ENST00000370768	-inf	0.0
MAP2K4	-inf	0.0
PIK3R1_ENST00000320694	-inf	0.0
SOX9	-inf	0.0
ZC3H18	-inf	0.0
ATM_ENST00000278616	-inf	0.0
PIK3R1_ENST00000336483	-inf	0.0
LARP4B	-inf	0.0
ASXL2_ENST00000435504	-inf	0.0
BCOR_ENST00000378463	-inf	0.0
ARID1B_ENST00000346085	-inf	0.0
NFATC4	-inf	0.0
NOTCH1	-inf	0.0
BCOR_ENST00000378444	-inf	0.0
DNMT3A_ENST00000380746	-inf	0.0
TCF12	-inf	0.0
BCOR	-inf	0.0
TCF7L2	-inf	0.0
NOTCH1_ENST00000277541	-inf	0.0
KMT2D	-5.298317366548036	-0.005012541823544286
TSGA10	-5.298317366548036	-0.005012541823544286
SCAF4	-5.298317366548036	-0.005012541823544286
CPEB2	-5.298317366548036	-0.005012541823544286
CIC	-5.298317366548036	-0.005012541823544286
TCF7L2_ENST00000543371	-5.298317366548036	-0.005012541823544286
ZC3H13_ENST00000242848	-5.298317366548036	-0.005012541823544286
MED23	-5.298317366548036	-0.005012541823544286
KDM6A_ENST00000377967	-5.298317366548036	-0.005012541823544286
MLL2_ENST00000301067	-5.298317366548036	-0.005012541823544286
INPPL1	-5.298317366548036	-0.005012541823544286
CTNND1	-5.298317366548036	-0.005012541823544286
RGS12_ENST00000338806	-5.298317366548036	-0.005012541823544286
ELF3_ENST00000359651	-5.298317366548036	-0.005012541823544286
SPRED2	-5.298317366548036	-0.005012541823544286
SIN3A	-5.298317366548036	-0.005012541823544286
HMMR	-5.298317366548036	-0.005012541823544286
SETD2_ENST00000409792	-5.298317366548036	-0.005012541823544286
PDS5B	-5.298317366548036	-0.005012541823544286
LARP1_ENST00000336314	-5.298317366548036	-0.005012541823544286
AMBRA1	-5.298317366548036	-0.005012541823544286
FIP1L1_ENST00000337488	-5.298317366548036	-0.005012541823544286
NCOR1_ENST00000395851	-5.298317366548036	-0.005012541823544286
TBX3	-5.298317366548036	-0.005012541823544286
SBNO1	-5.298317366548036	-0.005012541823544286
SMARCC2	-5.298317366548036	-0.005012541823544286
RBM33	-5.298317366548036	-0.005012541823544286
LRCH1	-5.298317366548036	-0.005012541823544286
KDM6A	-5.298317366548036	-0.005012541823544286
ARID1A	-5.298317366548036	-0.005012541823544286
KDM6A_ENST00000382899	-5.298317366548036	-0.005012541823544286
ATRX_ENST00000373344	-5.298317366548036	-0.005012541823544286
ZNF750	-5.298317366548036	-0.005012541823544286
BCL9_ENST00000234739	-5.298317366548036	-0.005012541823544286
ZNF14	-5.298317366548036	-0.005012541823544286
STAG2_ENST00000218089	-5.298317366548036	-0.005012541823544286
TNRC6B_ENST00000454349	-5.298317366548036	-0.005012541823544286
CTNND1_ENST00000399050	-5.298317366548036	-0.005012541823544286
PLK2	-5.298317366548036	-0.005012541823544286
NF2_ENST00000403999	-5.298317366548036	-0.005012541823544286
MAP7D1	-5.298317366548036	-0.005012541823544286
USP28	-5.298317366548036	-0.005012541823544286
KBTBD4	-5.298317366548036	-0.005012541823544286
ELF3	-5.298317366548036	-0.005012541823544286
WT1_ENST00000332351	-5.298317366548036	-0.005012541823544286
PBRM1_ENST00000356770	-5.298317366548036	-0.005012541823544286
MLL4	-5.298317366548036	-0.005012541823544286
KDM5C_ENST00000452825	-5.298317366548036	-0.005012541823544286
TCF7L2_ENST00000355717	-5.298317366548036	-0.005012541823544286
MLL3_ENST00000355193	-5.298317366548036	-0.005012541823544286
ZFP36L2	-5.298317366548036	-0.005012541823544286
ZC3H11A	-5.298317366548036	-0.005012541823544286
MLLT4_ENST00000366806	-5.298317366548036	-0.005012541823544286
KDM5C_ENST00000375401	-5.298317366548036	-0.005012541823544286
RPS6KA3	-5.298317366548036	-0.005012541823544286
KIAA0907	-5.298317366548036	-0.005012541823544286
ZC3H13	-5.298317366548036	-0.005012541823544286
MAP3K1_ENST00000399503	-5.298317366548036	-0.005012541823544286
RUNX1	-5.298317366548036	-0.005012541823544286
LIMCH1	-5.298317366548036	-0.005012541823544286
MLLT4_ENST00000392108	-5.298317366548036	-0.005012541823544286
ZFP36L1	-5.298317366548036	-0.005012541823544286
HNF1A_ENST00000543427	-5.298317366548036	-0.005012541823544286
RASA1_ENST00000456692	-5.298317366548036	-0.005012541823544286
FXR1	-5.298317366548036	-0.005012541823544286
FAT	-5.298317366548036	-0.005012541823544286
RB1_ENST00000267163	-5.298317366548036	-0.005012541823544286
SRGAP3	-5.298317366548036	-0.005012541823544286
PBRM1_ENST00000296302	-5.298317366548036	-0.005012541823544286
