	OG	TSG
ANKRD26_ENST00000376070	-inf	0.0
DOCK4	-4.814890716970161	-0.008141157583699774
STK31	-4.814890716970161	-0.008141157583699774
TRIP12	-4.814890716970161	-0.008141157583699774
MYO1B_ENST00000392318	-4.814890716970161	-0.008141157583699774
LIFR	-4.814890716970161	-0.008141157583699774
ABCC2	-4.814890716970161	-0.008141157583699774
SULF1	-4.814890716970161	-0.008141157583699774
HLCS	-4.814890716970161	-0.008141157583699774
SHROOM3	-4.814890716970161	-0.008141157583699774
QSER1	-4.814890716970161	-0.008141157583699774
BBX	-4.814890716970161	-0.008141157583699774
TNC	-4.814890716970161	-0.008141157583699774
NCOR1_ENST00000395851	-4.814890716970161	-0.008141157583699774
DSG3	-4.814890716970161	-0.008141157583699774
ASXL2	-4.814890716970161	-0.008141157583699774
EDC4	-4.814890716970161	-0.008141157583699774
GON4L_ENST00000437809	-4.814890716970161	-0.008141157583699774
MYOCD	-4.814890716970161	-0.008141157583699774
IQGAP2	-4.814890716970161	-0.008141157583699774
MYO5C	-4.814890716970161	-0.008141157583699774
USP9X_ENST00000324545	-4.814890716970161	-0.008141157583699774
IQCE	-4.814890716970161	-0.008141157583699774
PASD1_ENST00000370357	-4.814890716970161	-0.008141157583699774
TRANK1_ENST00000429976	-4.814890716970161	-0.008141157583699774
PTCH1_ENST00000430669	-4.814890716970161	-0.008141157583699774
FHOD1	-4.814890716970161	-0.008141157583699774
MDGA2_ENST00000399232	-4.814890716970161	-0.008141157583699774
LIFR_ENST00000263409	-4.814890716970161	-0.008141157583699774
ARID1A	-4.814890716970161	-0.008141157583699774
DOCK4_ENST00000437633	-4.814890716970161	-0.008141157583699774
FRYL	-4.814890716970161	-0.008141157583699774
ASXL2_ENST00000435504	-4.814890716970161	-0.008141157583699774
PPP2R3A	-4.814890716970161	-0.008141157583699774
BZRAP1_ENST00000355701	-4.814890716970161	-0.008141157583699774
NUP210L	-4.814890716970161	-0.008141157583699774
POLQ	-4.814890716970161	-0.008141157583699774
RBM46	-4.814890716970161	-0.008141157583699774
C6	-4.814890716970161	-0.008141157583699774
GRIK2_ENST00000369138	-4.814890716970161	-0.008141157583699774
F5	-4.814890716970161	-0.008141157583699774
ARID1B_ENST00000346085	-4.814890716970161	-0.008141157583699774
MPDZ	-4.814890716970161	-0.008141157583699774
CXorf22_ENST00000297866	-4.814890716970161	-0.008141157583699774
DDX60	-4.814890716970161	-0.008141157583699774
NSD1	-4.814890716970161	-0.008141157583699774
GON4L	-4.814890716970161	-0.008141157583699774
SAMD9	-4.814890716970161	-0.008141157583699774
TXNDC3	-4.814890716970161	-0.008141157583699774
DPPA4	-4.814890716970161	-0.008141157583699774
