random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	26	log2	2	gini	0.7810650887573964
1	6	log2	4	gini	0.7928994082840237
2	20	log2	2	gini	0.7751479289940828
3	5	log2	2	gini	0.7810650887573964
4	6	log2	2	entropy	0.8165680473372781
5	13	sqrt	2	gini	0.7928994082840237
6	6	sqrt	3	entropy	0.8047337278106509
7	6	sqrt	4	entropy	0.7928994082840237
8	8	sqrt	3	gini	0.7751479289940828
9	12	log2	2	gini	0.7810650887573964
