random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	14	log2	2	gini	0.783625730994152
1	25	sqrt	3	gini	0.7894736842105263
2	27	log2	2	gini	0.8011695906432749
3	5	log2	4	entropy	0.8128654970760234
4	30	log2	2	entropy	0.8070175438596491
5	6	sqrt	2	gini	0.8070175438596491
6	5	sqrt	2	entropy	0.8070175438596491
7	10	log2	2	gini	0.8011695906432749
8	18	log2	4	gini	0.7894736842105263
9	29	sqrt	4	entropy	0.8128654970760234
