Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_TSG	F1_OG	Precision_TSG	Precision_OG	Recall_TSG	Recall_OG
allFeat	37	14	0	log2	2	gini	0.8128654970760234	0.864406779661017	0.6981132075471698	0.8031496062992126	0.8409090909090909	0.9357798165137615	0.5967741935483871
allFeat	37	25	1	sqrt	3	gini	0.8596491228070176	0.8956521739130435	0.7857142857142856	0.8512396694214877	0.88	0.944954128440367	0.7096774193548387
allFeat	37	27	2	log2	2	gini	0.8304093567251462	0.876595744680851	0.7289719626168225	0.8174603174603174	0.8666666666666667	0.944954128440367	0.6290322580645161
allFeat	37	5	3	log2	4	entropy	0.8888888888888888	0.9191489361702129	0.8224299065420562	0.8571428571428571	0.9777777777777777	0.9908256880733946	0.7096774193548387
allFeat	37	30	4	log2	2	entropy	0.8362573099415205	0.8793103448275862	0.7454545454545455	0.8292682926829268	0.8541666666666666	0.9357798165137615	0.6612903225806451
allFeat	37	6	5	sqrt	2	gini	0.8362573099415205	0.8813559322033899	0.7358490566037735	0.8188976377952756	0.8863636363636364	0.9541284403669725	0.6290322580645161
allFeat	37	5	6	sqrt	2	entropy	0.8362573099415205	0.8823529411764707	0.7307692307692307	0.813953488372093	0.9047619047619048	0.963302752293578	0.6129032258064516
allFeat	37	10	7	log2	2	gini	0.8187134502923976	0.8658008658008659	0.7207207207207208	0.819672131147541	0.8163265306122449	0.9174311926605505	0.6451612903225806
allFeat	37	18	8	log2	4	gini	0.9415204678362573	0.954954954954955	0.9166666666666667	0.9380530973451328	0.9482758620689655	0.9724770642201835	0.8870967741935484
allFeat	37	29	9	sqrt	4	entropy	0.9122807017543859	0.9339207048458149	0.8695652173913043	0.8983050847457628	0.9433962264150944	0.9724770642201835	0.8064516129032258
newFeat	19	18	0	sqrt	3	entropy	0.8187134502923976	0.8646288209606987	0.7256637168141592	0.825	0.803921568627451	0.908256880733945	0.6612903225806451
newFeat	19	11	1	sqrt	3	gini	0.8070175438596491	0.8583690987124464	0.6972477064220183	0.8064516129032258	0.8085106382978723	0.9174311926605505	0.6129032258064516
newFeat	19	30	2	sqrt	2	gini	0.7660818713450293	0.834710743801653	0.6	0.7593984962406015	0.7894736842105263	0.926605504587156	0.4838709677419355
newFeat	19	7	3	sqrt	3	gini	0.8128654970760234	0.8699186991869919	0.6666666666666666	0.781021897810219	0.9411764705882353	0.981651376146789	0.5161290322580645
newFeat	19	7	4	sqrt	3	entropy	0.7719298245614035	0.8408163265306123	0.5979381443298969	0.7573529411764706	0.8285714285714286	0.944954128440367	0.46774193548387094
newFeat	19	10	5	sqrt	4	entropy	0.8421052631578947	0.8755760368663594	0.7839999999999999	0.8796296296296297	0.7777777777777778	0.8715596330275229	0.7903225806451613
newFeat	19	9	6	sqrt	2	entropy	0.7719298245614035	0.8326180257510729	0.6422018348623854	0.782258064516129	0.7446808510638298	0.8899082568807339	0.5645161290322581
newFeat	19	13	7	sqrt	4	entropy	0.8596491228070176	0.8938053097345133	0.7931034482758621	0.8632478632478633	0.8518518518518519	0.926605504587156	0.7419354838709677
newFeat	19	27	8	sqrt	4	gini	0.8596491228070176	0.8909090909090909	0.8032786885245902	0.8828828828828829	0.8166666666666667	0.8990825688073395	0.7903225806451613
newFeat	19	7	9	sqrt	3	gini	0.8128654970760234	0.857142857142857	0.7288135593220338	0.8347826086956521	0.7678571428571429	0.8807339449541285	0.6935483870967742
oldFeat	18	25	0	sqrt	4	gini	0.9005847953216374	0.9264069264069265	0.8468468468468467	0.8770491803278688	0.9591836734693877	0.981651376146789	0.7580645161290323
oldFeat	18	19	1	sqrt	3	gini	0.8713450292397661	0.9043478260869566	0.8035714285714286	0.859504132231405	0.9	0.9541284403669725	0.7258064516129032
oldFeat	18	13	2	sqrt	3	entropy	0.8304093567251462	0.8776371308016877	0.7238095238095238	0.8125	0.8837209302325582	0.9541284403669725	0.6129032258064516
oldFeat	18	30	3	sqrt	4	gini	0.9181286549707602	0.9391304347826087	0.8749999999999999	0.8925619834710744	0.98	0.9908256880733946	0.7903225806451613
oldFeat	18	6	4	sqrt	3	entropy	0.8771929824561403	0.9090909090909091	0.8108108108108109	0.860655737704918	0.9183673469387755	0.963302752293578	0.7258064516129032
oldFeat	18	25	5	sqrt	2	entropy	0.8128654970760234	0.8620689655172414	0.7090909090909092	0.8130081300813008	0.8125	0.9174311926605505	0.6290322580645161
oldFeat	18	25	6	sqrt	4	entropy	0.9181286549707602	0.9380530973451328	0.8793103448275862	0.905982905982906	0.9444444444444444	0.9724770642201835	0.8225806451612904
oldFeat	18	17	7	sqrt	3	entropy	0.8596491228070176	0.8974358974358974	0.7777777777777777	0.84	0.9130434782608695	0.963302752293578	0.6774193548387096
oldFeat	18	25	8	sqrt	2	entropy	0.8245614035087719	0.8717948717948718	0.7222222222222221	0.816	0.8478260869565217	0.9357798165137615	0.6290322580645161
oldFeat	18	11	9	sqrt	4	entropy	0.8771929824561403	0.9098712446351932	0.8073394495412844	0.8548387096774194	0.9361702127659575	0.9724770642201835	0.7096774193548387
