	OG	TSG
NUMA1	-4.53617731450114	-0.010772096981911183
CENPF	-4.53617731450114	-0.010772096981911183
RNF6	-3.5806658694737035	-0.028252512951883968
BAG6_ENST00000404765	-3.5806658694737035	-0.028252512951883968
JMJD1C_ENST00000399262	-3.5806658694737035	-0.028252512951883968
IGF2R	-3.5806658694737035	-0.028252512951883968
TNRC18_ENST00000399537	-3.5806658694737035	-0.028252512951883968
ADNP	-3.5806658694737035	-0.028252512951883968
ROCK2_ENST00000315872	-3.5806658694737035	-0.028252512951883968
KIAA0195	-3.5806658694737035	-0.028252512951883968
HERC1	-3.5806658694737035	-0.028252512951883968
CLIP1	-3.5806658694737035	-0.028252512951883968
RAPGEF6_ENST00000308008	-3.5806658694737035	-0.028252512951883968
PI4KA_ENST00000255882	-3.5806658694737035	-0.028252512951883968
HERC2_ENST00000261609	-3.5806658694737035	-0.028252512951883968
ATG2B	-3.5806658694737035	-0.028252512951883968
UBR4_ENST00000375217	-3.5806658694737035	-0.028252512951883968
BCL9L_ENST00000334801	-3.5806658694737035	-0.028252512951883968
AKAP9_ENST00000356239	-3.5806658694737035	-0.028252512951883968
CHD7	-3.5806658694737035	-0.028252512951883968
CDC42BPA	-3.5806658694737035	-0.028252512951883968
MED23	-3.5806658694737035	-0.028252512951883968
SCAF11	-3.5806658694737035	-0.028252512951883968
KIAA1324	-3.5806658694737035	-0.028252512951883968
MBD6	-3.5806658694737035	-0.028252512951883968
HSPG2	-3.5806658694737035	-0.028252512951883968
MYO9A_ENST00000424560	-3.5806658694737035	-0.028252512951883968
RNF111_ENST00000434298	-3.5806658694737035	-0.028252512951883968
MYO10_ENST00000513610	-3.5806658694737035	-0.028252512951883968
RBM5	-3.5806658694737035	-0.028252512951883968
PI4KA	-3.5806658694737035	-0.028252512951883968
KDM5A	-3.5806658694737035	-0.028252512951883968
GOLGA2	-3.5806658694737035	-0.028252512951883968
EHBP1	-3.5806658694737035	-0.028252512951883968
DST_ENST00000244364	-3.5806658694737035	-0.028252512951883968
DDB1	-3.5806658694737035	-0.028252512951883968
ITGB4_ENST00000339591	-3.5806658694737035	-0.028252512951883968
ENSG00000121031	-3.5806658694737035	-0.028252512951883968
RAPGEF6_ENST00000307984	-3.5806658694737035	-0.028252512951883968
ATP13A3	-3.5806658694737035	-0.028252512951883968
KDM5A_ENST00000399788	-3.5806658694737035	-0.028252512951883968
ZNF318_ENST00000318149	-3.5806658694737035	-0.028252512951883968
ROCK2	-3.5806658694737035	-0.028252512951883968
INVS	-3.5806658694737035	-0.028252512951883968
UTP20	-3.5806658694737035	-0.028252512951883968
SLC27A3	-3.5806658694737035	-0.028252512951883968
MYO6_ENST00000369981	-3.5806658694737035	-0.028252512951883968
HERC1_ENST00000443617	-3.5806658694737035	-0.028252512951883968
SPAG9_ENST00000262013	-3.5806658694737035	-0.028252512951883968
MTMR3_ENST00000401950	-3.5806658694737035	-0.028252512951883968
ZNF292	-3.5806658694737035	-0.028252512951883968
RALGAPA1_ENST00000307138	-3.5806658694737035	-0.028252512951883968
MAST2_ENST00000361297	-3.5806658694737035	-0.028252512951883968
RALGAPA1	-3.5806658694737035	-0.028252512951883968
PRRC2A	-3.5806658694737035	-0.028252512951883968
JMJD1C	-3.5806658694737035	-0.028252512951883968
TTF1	-3.5806658694737035	-0.028252512951883968
AKAP9	-3.5806658694737035	-0.028252512951883968
CRSP3	-3.5806658694737035	-0.028252512951883968
AKAP13	-3.5806658694737035	-0.028252512951883968
RAPGEF6_ENST00000509018	-3.5806658694737035	-0.028252512951883968
OTOGL_ENST00000458043	-3.5806658694737035	-0.028252512951883968
ZNF318	-3.5806658694737035	-0.028252512951883968
NCOR1_ENST00000395851	-3.5806658694737035	-0.028252512951883968
