random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	25	sqrt	4	gini	0.7894736842105263
1	19	sqrt	3	gini	0.7953216374269005
2	13	sqrt	3	entropy	0.8011695906432749
3	30	sqrt	4	gini	0.8128654970760234
4	6	sqrt	3	entropy	0.8128654970760234
5	25	sqrt	2	entropy	0.8011695906432749
6	25	sqrt	4	entropy	0.8011695906432749
7	17	sqrt	3	entropy	0.8128654970760234
8	25	sqrt	2	entropy	0.8070175438596491
9	11	sqrt	4	entropy	0.8070175438596491
