Gene name	Max score_0	Label_0	top_stat_0	Max score_1	Label_1	top_stat_1	Max score_2	Label_2	top_stat_2	Max score_3	Label_3	top_stat_3	Max score_4	Label_4	top_stat_4	Label
ABCA13_ENST00000435803	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.6475443684661342	OG	0	0.8373860182370821	TSG	0	0.5555431626531084	OG	0	Unlabelled
ABCA1_ENST00000423487	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	0	Unlabelled
ABCA2	0.6144050078619246	TSG	0	0.5644463783639042	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.6107207615922063	TSG	0	Unlabelled
ABCA3	0.6387265587440631	TSG	0	0.5790729959695478	OG	0	0.581521611159547	TSG	0	0.7659574468085106	TSG	0	0.5556483478936821	TSG	0	Unlabelled
ABCA4	0.5379063712351687	OG	0	0.5644463783639042	TSG	0	0.6475443684661342	OG	0	0.8373860182370821	TSG	0	0.5213457192400371	OG	0	Unlabelled
ABCA4_ENST00000535735	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5654548734643694	OG	0	Unlabelled
ABCA5	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.6475443684661342	OG	0	0.8373860182370821	TSG	0	0.6017086045223377	OG	0	Unlabelled
ABCA6	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5379607106000295	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	0	Unlabelled
ABCA7	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5622643475152228	OG	0	Unlabelled
ABCA8	0.6234081773810457	TSG	0	0.5496879567089308	TSG	0	0.5379607106000295	TSG	0	0.9281196089706729	TSG	1	0.5924583515652346	OG	0	TSG
ABCA8_ENST00000430352	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5379607106000295	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	0	Unlabelled
ABCA9	0.5714473303112239	TSG	0	0.7055555555555555	OG	0	0.5084254814172305	OG	0	0.9281196089706729	TSG	1	0.5462275171338394	OG	0	TSG
ABCB1	0.7939802646197994	TSG	1	0.5070808501842985	TSG	0	0.7332326462923477	TSG	1	0.7659574468085106	TSG	0	0.5894794857774481	TSG	0	TSG
ABCB10	0.7294529440440919	TSG	0	0.6761741122565865	OG	0	0.7332326462923477	TSG	1	0.8225640534151173	TSG	0	0.6752969133061547	OG	0	TSG
ABCB11	0.6368954678478488	OG	0	0.5664603595638079	TSG	0	0.6379607106000295	TSG	0	0.6607843137254903	OG	0	0.6890696657204305	OG	1	OG
ABCB11_ENST00000263817	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	0	Unlabelled
ABCB4	0.6144050078619246	TSG	0	0.5903084473294213	TSG	0	0.635489865127801	TSG	0	0.8373860182370821	TSG	0	0.5233258048681532	OG	0	Unlabelled
ABCB4_ENST00000265723	0.6144050078619246	TSG	0	0.7503084473294214	TSG	1	0.5214025635404994	TSG	0	0.8373860182370821	TSG	0	0.6349434940851466	TSG	0	TSG
