random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	21	sqrt	3	entropy	0.7352941176470589
1	21	sqrt	2	gini	0.7235294117647059
2	28	sqrt	3	gini	0.7411764705882353
3	13	sqrt	4	entropy	0.7352941176470589
4	6	sqrt	4	entropy	0.7352941176470589
5	28	sqrt	3	gini	0.7588235294117647
6	29	sqrt	4	entropy	0.7470588235294118
7	28	sqrt	4	gini	0.7470588235294118
8	22	sqrt	3	entropy	0.7588235294117647
9	30	sqrt	3	entropy	0.7411764705882353
