Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_TSG	F1_OG	Precision_TSG	Precision_OG	Recall_TSG	Recall_OG
allFeat	37	30	0	sqrt	4	gini	0.9117647058823529	0.9344978165938865	0.8648648648648649	0.8916666666666667	0.96	0.981651376146789	0.7868852459016393
allFeat	37	9	1	log2	4	gini	0.9	0.9216589861751153	0.8617886178861789	0.9259259259259259	0.8548387096774194	0.9174311926605505	0.8688524590163934
allFeat	37	5	2	sqrt	3	entropy	0.8705882352941177	0.9083333333333334	0.78	0.8320610687022901	1.0	1.0	0.639344262295082
allFeat	37	28	3	sqrt	4	entropy	0.8941176470588236	0.9196428571428571	0.8448275862068965	0.8956521739130435	0.8909090909090909	0.944954128440367	0.8032786885245902
allFeat	37	27	4	sqrt	2	entropy	0.8	0.8534482758620691	0.6851851851851852	0.8048780487804879	0.7872340425531915	0.908256880733945	0.6065573770491803
allFeat	37	7	5	log2	3	entropy	0.8411764705882353	0.8810572687224669	0.7610619469026548	0.847457627118644	0.8269230769230769	0.9174311926605505	0.7049180327868853
allFeat	37	5	6	sqrt	3	gini	0.8529411764705882	0.8868778280542987	0.7899159663865546	0.875	0.8103448275862069	0.8990825688073395	0.7704918032786885
allFeat	37	6	7	log2	2	gini	0.7941176470588235	0.8535564853556485	0.6534653465346534	0.7846153846153846	0.825	0.9357798165137615	0.5409836065573771
allFeat	37	22	8	sqrt	2	gini	0.8117647058823529	0.8620689655172414	0.7037037037037038	0.8130081300813008	0.8085106382978723	0.9174311926605505	0.6229508196721312
allFeat	37	24	9	log2	2	gini	0.8	0.860655737704918	0.6458333333333334	0.7777777777777778	0.8857142857142857	0.963302752293578	0.5081967213114754
newFeat	19	21	0	sqrt	3	entropy	0.8176470588235294	0.8669527896995709	0.7102803738317758	0.8145161290322581	0.8260869565217391	0.926605504587156	0.6229508196721312
newFeat	19	21	1	sqrt	2	gini	0.7705882352941177	0.8421052631578947	0.5806451612903226	0.7536231884057971	0.84375	0.9541284403669725	0.4426229508196721
newFeat	19	28	2	sqrt	3	gini	0.8235294117647058	0.8728813559322034	0.7115384615384615	0.8110236220472441	0.8604651162790697	0.944954128440367	0.6065573770491803
newFeat	19	13	3	sqrt	4	entropy	0.8529411764705882	0.8953974895397491	0.7524752475247525	0.823076923076923	0.95	0.981651376146789	0.6229508196721312
newFeat	19	6	4	sqrt	4	entropy	0.8647058823529412	0.9021276595744682	0.780952380952381	0.8412698412698413	0.9318181818181818	0.9724770642201835	0.6721311475409836
newFeat	19	28	5	sqrt	3	gini	0.8176470588235294	0.8702928870292888	0.693069306930693	0.8	0.875	0.9541284403669725	0.5737704918032787
newFeat	19	29	6	sqrt	4	entropy	0.8647058823529412	0.8995633187772926	0.7927927927927928	0.8583333333333333	0.88	0.944954128440367	0.7213114754098361
newFeat	19	28	7	sqrt	4	gini	0.8647058823529412	0.8986784140969163	0.7964601769911505	0.864406779661017	0.8653846153846154	0.9357798165137615	0.7377049180327869
newFeat	19	22	8	sqrt	3	entropy	0.7941176470588235	0.8547717842323651	0.6464646464646464	0.7803030303030303	0.8421052631578947	0.944954128440367	0.5245901639344263
newFeat	19	30	9	sqrt	3	entropy	0.8058823529411765	0.8607594936708861	0.6796116504854368	0.796875	0.8333333333333334	0.9357798165137615	0.5737704918032787
oldFeat	18	14	0	sqrt	2	entropy	0.8176470588235294	0.8702928870292888	0.693069306930693	0.8	0.875	0.9541284403669725	0.5737704918032787
oldFeat	18	11	1	sqrt	4	gini	0.8823529411764706	0.912280701754386	0.8214285714285715	0.8739495798319328	0.9019607843137255	0.9541284403669725	0.7540983606557377
oldFeat	18	21	2	sqrt	4	gini	0.9	0.9264069264069265	0.8440366972477064	0.8770491803278688	0.9583333333333334	0.981651376146789	0.7540983606557377
oldFeat	18	7	3	sqrt	3	gini	0.8235294117647058	0.8749999999999999	0.7	0.8015267175572519	0.8974358974358975	0.963302752293578	0.5737704918032787
oldFeat	18	15	4	sqrt	2	entropy	0.8235294117647058	0.8739495798319327	0.7058823529411764	0.8062015503875969	0.8780487804878049	0.9541284403669725	0.5901639344262295
oldFeat	18	5	5	sqrt	2	entropy	0.8058823529411765	0.8607594936708861	0.6796116504854368	0.796875	0.8333333333333334	0.9357798165137615	0.5737704918032787
oldFeat	18	25	6	sqrt	2	entropy	0.8117647058823529	0.8688524590163935	0.6666666666666666	0.7851851851851852	0.9142857142857143	0.9724770642201835	0.5245901639344263
oldFeat	18	10	7	sqrt	4	gini	0.8764705882352941	0.9098712446351932	0.8037383177570093	0.8548387096774194	0.9347826086956522	0.9724770642201835	0.7049180327868853
oldFeat	18	24	8	sqrt	2	entropy	0.8117647058823529	0.8699186991869919	0.6595744680851064	0.781021897810219	0.9393939393939394	0.981651376146789	0.5081967213114754
oldFeat	18	9	9	sqrt	4	entropy	0.888235294117647	0.9177489177489178	0.8256880733944955	0.8688524590163934	0.9375	0.9724770642201835	0.7377049180327869
